#{"t_start": 1772595003.5941832, "env_id": "None"}
r,l,t
-8353.89,957,1.770871
-10497.048,1189,2.103188
-16514.633,2001,3.271294
-16827.357,2001,3.271326
-13841.744,1583,5.065788
-16326.778,2001,5.33241
-12236.785,1458,6.051104
-15819.9795,2001,6.828327
-16545.434,2001,8.533658
-16009.652,2001,8.794152
-14470.587,1687,9.057736
-16776.863,2001,10.254055
-16580.387,2001,11.98071
-16307.735,2001,12.251188
-16806.295,2001,12.52001
-16365.648,2001,13.783846
-16085.679,2001,15.902305
-6425.324,777,15.911728
-16440.021,2001,16.166916
-16393.965,2001,16.433155
-16187.709,2001,24.13285
-15850.479,2001,24.141851
-15488.428,2001,24.395462
-15374.684,2001,24.658232
-13372.59,1642,27.054379
-14244.34,1753,27.201208
-16127.741,2001,27.80719
-3883.4456,475,27.864407
-15906.871,2001,28.073594
-6673.676,816,28.199795
-7799.3853,1013,29.282348
-7079.409,882,31.145065
-15388.441,2001,31.236577
-15163.101,2001,31.497253
-15851.303,2001,31.623193
-13267.215,1727,34.141195
-15128.317,2001,34.616778
-14444.753,2001,34.87596
-15407.936,2001,35.01507
-8300.919,995,36.283395
-15676.6045,2001,37.579053
-14588.858,2001,38.048417
-14908.785,2001,38.437907
-8129.2046,1021,39.002424
-15261.111,2001,44.404934
-9262.629,1245,45.551338
-14652.387,2001,46.230153
-15195.293,2001,47.194062
-14809.822,2001,47.903247
-10688.9375,1483,48.324443
-14382.721,2001,48.379668
-7730.822,1046,50.389577
-14209.358,2001,50.607999
-14808.771,2001,51.316985
-6489.0654,822,51.552333
-14628.166,2001,51.794331
-14800.006,2001,54.092268
-14295.332,2001,54.791816
-14442.396,2001,55.027103
-13912.382,2001,55.267397
-11406.177,1613,56.987266
-13230.163,2001,58.227143
-13763.811,2001,58.461245
-14187.435,2001,58.700178
-14265.345,2001,60.386081
-13541.748,2001,65.119081
-13730.085,2001,65.352833
-13498.491,2001,65.592109
-13291.86,2001,67.295108
-13206.55,2001,68.542148
-12522.827,2001,68.77629
-12992.819,2001,69.016279
-13191.79,2001,70.680955
-12636.847,2001,71.926895
-12328.968,2001,72.16091
-12915.905,2001,72.401345
-12547.553,2001,74.046723
-12464.122,2001,75.284112
-12390.357,2001,75.517362
-12378.326,2001,75.754811
-12217.152,2001,77.46186
-12141.739,2001,78.716622
-12293.957,2001,78.953719
-11710.938,2001,79.19557
-12136.58,2001,80.905535
-11890.799,2001,86.768886
-11442.323,2001,87.001992
-11493.738,2001,87.241651
-12000.521,2001,88.897521
-12160.134,2001,90.141192
-11157.928,2001,90.37611
-11461.417,2001,90.615992
-11332.853,2001,92.31932
-11234.183,2001,93.549474
-11155.377,2001,93.780204
-11691.33,2001,94.015233
-11163.7295,2001,95.735696
-10932.118,2001,96.97916
-10560.481,2001,97.211921
-11064.712,2001,97.452813
-10577.773,2001,99.110926
-10416.374,2001,100.343289
-10270.628,2001,100.577489
-10029.268,2001,100.815727
-10294.081,2001,102.47633
-9883.125,2001,105.26809
-10265.063,2001,105.503962
-10540.4795,2001,105.745371
-10180.139,2001,107.431713
-10019.683,2001,108.658649
-9741.743,2001,108.906298
-9215.087,2001,109.142339
-9678.938,2001,110.801464
-9640.25,2001,112.043627
-9694.861,2001,112.279753
-9937.868,2001,112.519778
-9816.239,2001,113.604006
-8924.939,2001,115.427613
-9149.105,2001,115.655696
-9504.228,2001,115.89075
-9145.139,2001,116.955731
-9434.004,2001,118.814445
-9134.873,2001,119.04318
-9234.646,2001,119.278978
-8750.165,2001,120.340193
-8915.514,2001,125.699959
-8482.112,2001,125.936209
-9214.339,2001,126.175201
-8927.009,2001,127.2532
-8220.975,2001,129.074839
-8300.834,2001,129.307092
-8294.337,2001,129.542353
-8023.9126,2001,130.611539
-7733.069,2001,132.43065
-8483.769,2001,132.669599
-8583.612,2001,132.904632
-8142.213,2001,133.973114
-8157.834,2001,135.815222
-7903.8687,2001,136.044427
-7670.926,2001,136.277969
-7997.6313,2001,137.338665
-7943.9487,2001,139.182383
-7481.855,2001,139.412827
-7605.7144,2001,139.649758
-7447.2017,2001,140.722745
-7857.648,2001,147.256499
-7388.142,2001,147.488964
-7189.445,2001,147.725699
-7238.493,2001,148.807984
-7145.0386,2001,150.653433
-7555.139,2001,150.885314
-6932.994,2001,151.121366
-7364.404,2001,152.181092
-6618.9585,2001,154.028237
-6751.2124,2001,154.26124
-7090.33,2001,154.499349
-7294.9478,2001,155.577605
-6972.9517,2001,157.404624
-6582.5566,2001,157.635995
-7082.359,2001,157.87395
-6399.4185,2001,158.934941
-6801.8965,2001,160.779149
-6862.503,2001,161.009988
-6534.2764,2001,161.246246
-6526.004,2001,162.375723
-6427.704,2001,168.980064
-6015.4824,2001,169.210951
-6377.807,2001,169.445451
-6459.4766,2001,170.51082
-6277.014,2001,172.333821
-6040.52,2001,172.566607
-5710.624,2001,172.807633
-6681.7275,2001,173.884072
-6430.098,2001,175.731718
-5756.7407,2001,175.964906
-5852.6816,2001,176.20039
-5918.227,2001,177.271843
-5641.3184,2001,179.102453
-5410.4,2001,179.335568
-6280.6074,2001,179.573704
-5089.973,2001,180.637337
-5399.2,2001,182.458726
-5366.9595,2001,182.693468
-5402.4004,2001,182.932526
-5473.238,2001,184.007732
-5225.7007,2001,189.88822
-5178.594,2001,190.115402
-5441.8237,2001,190.349253
-5555.988,2001,191.411274
-5564.352,2001,193.234185
-5684.108,2001,193.485052
-5205.6006,2001,193.729598
-4813.777,2001,194.823125
-5101.3027,2001,196.05223
-5178.6396,2001,196.895294
-5292.1006,2001,197.131302
-5433.364,2001,198.190984
-4770.3735,2001,199.408131
-4904.401,2001,200.234111
-5136.846,2001,200.472707
-4508.4053,2001,201.546099
-4856.479,2001,202.769453
-4895.351,2001,203.598074
-4528.2344,2001,203.832168
-4894.729,2001,204.891027
-4740.9766,1941,206.896146
-4660.3945,2001,207.803241
-4643.921,2001,208.043985
-4837.8467,2001,209.105342
-4543.2705,2001,210.249653
-4903.411,2001,210.565678
-4724.6104,2001,211.403716
-4337.33,2001,212.467763
-4254.8286,2001,213.599697
-3945.3145,2001,213.910971
-4541.1436,2001,214.745552
-4749.676,2001,215.816967
-4843.1313,2001,216.955647
-4588.8623,2001,217.270963
-4516.755,2001,218.115595
-4222.227,2001,219.19226
-4434.7686,2001,220.33688
-4249.356,2001,220.654306
-4862.648,2001,220.893178
-4784.5454,2001,222.555811
-4248.6875,2001,227.62038
-4912.7915,1926,227.832105
-3876.5322,2001,228.178558
-4326.908,2001,229.838516
-4296.946,2001,230.98984
-4080.6877,2001,231.201828
-4074.6152,2001,231.547229
-3893.6343,2001,233.222908
-3937.852,2001,234.357234
-4506.3564,2001,234.565725
-3732.7048,2001,234.902949
-3883.8184,2001,236.556411
-4026.576,2001,237.703717
-4105.7974,2001,237.912749
-3329.216,2001,238.252808
-3825.8464,2001,239.9479
-4021.9011,2001,241.073899
-3615.196,2001,241.282158
-3918.067,2001,241.621211
-3692.6367,2001,243.29067
-3890.0647,2001,246.025148
-3459.2312,2001,246.231682
-3592.0334,2001,246.57087
-3607.8276,2001,248.249256
-3379.8997,2001,249.374798
-3405.3145,2001,249.582169
-3889.4077,2001,249.921089
-4526.269,2001,251.598415
-4104.784,2001,252.728721
-3632.0662,2001,252.946859
-3727.318,2001,253.288611
-2972.7185,2001,254.953959
-3796.1826,2001,256.078707
-3265.8733,2001,256.286169
-3522.4277,2001,256.622516
-3533.8748,2001,258.274955
-3754.1245,2001,259.412281
-3134.2036,2001,259.623076
-3288.9875,2001,259.965455
-3562.7332,2001,261.614902
-2796.501,1295,261.991634
-3731.5103,2001,267.325125
-3669.8826,2001,267.878128
-3361.1963,2001,269.548635
-2881.147,2001,269.927244
-3487.5747,2001,270.678272
-3067.7517,2001,271.223976
-3658.5332,2001,272.893837
-3330.696,2001,273.27909
-2750.7383,2001,274.052027
-3026.185,2001,274.608363
-2918.2148,2001,276.316746
-3805.1655,2001,276.697729
-2225.3425,1375,277.152183
-2930.7551,2001,277.464971
-2754.1987,2001,279.719521
-3496.4565,2001,280.109226
-2973.8862,2001,280.572375
-3126.812,2001,280.887569
-2906.5122,2001,283.085975
-3201.033,2001,283.463367
-1961.2328,2001,283.913417
-3148.5159,2001,285.289022
-2965.713,2001,287.537278
-2659.9795,2001,287.917274
-2308.8953,2001,288.363616
-1007.16974,485,288.579403
-3051.1562,2001,288.671686
-2862.541,1778,289.963644
-3057.0732,2001,291.683362
-2101.2517,2001,291.899863
-2470.1675,2001,291.993212
-2344.6042,2001,293.298608
-2420.9895,2001,295.022141
-2119.835,2001,295.237257
-2347.9587,2001,295.332842
-2803.207,2001,296.630269
-2520.3608,2001,298.358146
-2554.9954,2001,298.579636
-2818.0796,2001,298.671418
-2793.7961,2001,299.983404
-2868.4368,2001,301.72817
-2445.4443,2001,306.490866
-2766.1096,2001,306.58409
-1392.3062,858,307.741519
-3101.299,2001,307.867263
-2926.6885,2001,309.599256
-3560.6736,2001,309.815691
-2489.8928,2001,311.095838
-3133.4954,2001,311.222122
-2632.0645,2001,313.04259
-2335.4116,2001,313.260134
-2447.1729,2001,314.534521
-1970.606,2001,314.662319
-2675.2637,1532,315.371009
-2205.3333,2001,316.403105
-1563.5018,2001,317.901074
-2415.742,2001,318.028021
-2252.2922,2001,318.736965
-2082.9277,2001,319.765992
-1418.718,1236,320.330456
-1367.7233,970,321.086879
-1465.2162,2001,321.242447
-2463.8826,2001,322.069925
-2501.0898,2001,328.190836
-1551.7535,2001,328.948356
-2498.4836,2001,329.104168
-1653.1243,2001,329.935245
-2421.4119,2001,331.53389
-2226.7659,2001,332.308379
-2250.7825,2001,332.464599
-1330.8209,2001,333.302299
-1194.5315,1186,334.598208
-2405.4932,2001,334.94667
-2233.554,2001,335.866122
-2484.5244,2001,336.693139
-828.6677,832,337.001259
-1114.282,2001,337.945081
-1875.2408,2001,338.301466
-1985.0979,2001,340.070725
-2187.7593,2001,340.384932
-1934.7756,2001,341.344929
-1712.4242,2001,341.698087
-1309.6572,1181,342.331081
-1697.7285,2001,343.775897
-1599.4626,2001,348.408889
-2128.5,2001,348.757917
-2273.9858,1715,348.992219
-1238.8309,1266,350.739014
-2290.1548,2001,350.830784
-1848.8903,2001,351.736322
-1861.0217,2001,352.090755
-904.62,776,352.475616
-1901.1392,2001,354.071147
-1867.0654,1214,354.148241
-1525.0842,2001,355.14479
-1672.6902,2001,355.496216
-955.90265,670,356.063015
-1005.78973,2001,357.475665
-1302.1926,2001,357.549893
-1227.3884,2001,358.837253
-1546.9681,2001,359.415403
-2344.5376,2001,360.846676
-954.6827,2001,360.923383
-1374.2244,2001,362.222368
-1384.6382,2001,362.794797
-1794.8966,2001,364.212756
-1241.4557,2001,364.288215
-1134.2671,2001,370.285831
-1090.4448,2001,370.859787
-703.5226,2001,372.267933
-1439.7727,2001,372.343981
-1109.3243,2001,373.696323
-1487.672,2001,374.269971
-789.48,1996,375.679921
-1053.2589,2001,375.76631
-1254.1368,2001,377.056061
-1948.8066,2001,377.623068
-861.8838,1126,377.821186
-1666.6233,2001,379.098276
-1341.3641,2001,379.791284
-1882.9415,2001,380.961847
-651.05475,456,381.020915
-798.67316,2001,381.162594
-1375.4187,1497,381.757636
-689.8196,897,382.398916
-671.2817,2001,384.328881
-1219.9308,2001,384.387534
-876.14984,2001,385.125246
-1136.302,2001,385.765195
-1192.8425,2001,392.378096
-589.32605,2001,392.437565
-663.94824,1055,392.511665
-1434.9509,2001,393.177185
-607.7155,2001,395.801628
-491.39996,2001,395.860496
-518.0321,2001,395.934606
-885.41064,2001,396.587355
-437.09042,2001,399.148869
-1309.1887,2001,399.205947
-643.81824,2001,399.279709
-709.24646,2001,399.933958
-895.72473,928,401.1994
-396.06702,2001,402.49841
-908.47644,2001,402.555311
-1084.0846,2001,402.629167
-522.7459,2001,404.553811
-545.9742,2001,405.819932
-1113.71,2001,405.879921
-771.1371,2001,405.954599
-338.6771,2001,412.48365
-1114.1895,2001,413.760484
-627.30835,2001,413.820193
-501.41806,2001,413.893528
-1184.3915,2001,415.829024
-707.36804,2001,417.236615
-296.75845,2001,417.29732
-830.9373,2001,417.373585
-658.40265,2001,419.309618
-691.0132,2001,419.988658
-658.1024,2001,420.644954
-669.44604,2001,420.720141
-680.3851,2001,422.674886
-458.67346,2001,423.361781
-879.2787,2001,423.421322
-415.13834,2001,424.100683
-810.8018,2001,426.040811
-607.12146,2001,426.720216
-562.22217,2001,426.777057
-60.19117,2001,426.852454
-549.42474,1396,434.027469
-490.25656,2001,434.044961
-251.90103,2001,434.74147
-62.076107,2001,434.801289
-1167.8254,1118,436.215155
234.62367,2001,437.448312
126.72104,2001,438.1341
-1054.8883,2001,438.191325
-381.8696,2001,439.603021
-312.8727,2001,440.841338
-114.52485,2001,441.538424
-651.263,2001,441.596671
-329.57837,1956,442.900942
-700.96375,2001,444.192358
-268.28284,2001,444.868702
-397.63586,2001,444.928229
-76.81596,2001,446.286116
108.2739,2001,447.587388
-295.02148,2001,448.282343
-806.75757,2001,448.342417
-654.83734,2001,449.679088
-60.051514,2001,455.604085
-271.49124,2001,456.281279
21.895182,2001,456.33943
-419.87506,2001,457.666269
-149.3367,1105,458.475303
-195.25461,2001,458.966375
158.78726,2001,459.645112
-464.63147,1221,460.145575
-76.692345,2001,461.080897
-223.42569,2001,462.396382
571.43677,2001,463.092232
-400.46127,2001,463.604573
170.10814,2001,464.491511
-624.31433,2001,465.798831
164.83539,2001,466.489453
-156.93274,2001,466.999549
-164.66615,1022,467.212723
-335.24432,2001,467.855411
90.05378,2001,469.855525
-684.82825,2001,470.365624
504.99088,2001,470.586207
-52.868565,2001,470.639504
35.550484,2001,476.185627
-182.55768,2001,476.697227
-104.198814,2001,476.921804
-261.99536,2001,476.976915
-115.05463,1114,479.1038
285.7977,2001,479.545997
-274.82248,2001,480.045315
-83.918,2001,480.262341
469.20938,2001,482.454044
-639.2139,2001,482.905702
164.77182,2001,483.416885
693.4054,2001,483.636238
-214.4548,1102,485.527877
221.53339,2001,485.811757
-657.93036,2001,486.253667
87.87999,2001,486.968166
589.8579,2001,488.89143
392.8614,2001,489.180686
-291.30856,2001,489.632845
252.7044,2001,490.370555
-479.66284,1710,491.893363
-386.2014,772,495.658249
618.9671,2001,496.179675
34.749756,2001,496.627159
94.3054,2001,498.876232
-357.36594,2001,499.044615
77.2689,2001,499.575132
-618.3334,2001,500.023368
548.7914,2001,502.254894
-1099.7518,2001,502.418219
-242.12401,2001,502.938044
323.2836,2001,503.379725
-1020.6564,2001,505.561194
398.5087,2001,505.72192
596.67346,2001,506.243292
-210.9607,2001,506.682838
-732.05725,1174,508.889063
797.8559,2001,508.895161
-251.7175,2001,509.060946
376.9731,2001,509.585549
-949.0994,1190,510.522568
-78.26141,2001,512.22819
624.1923,2001,517.045075
765.5712,2001,517.562689
21.94831,2001,518.510393
-131.32576,796,518.655464
-913.8273,2001,520.250274
-181.00185,750,520.317812
-1120.0706,2001,520.422967
522.66266,2001,521.895885
-1247.2883,1185,521.950166
300.91092,2001,523.721467
383.63354,2001,523.892747
645.721,2001,525.375376
655.7648,2001,525.430111
305.58725,2001,526.495587
965.42126,2001,527.291257
441.28253,2001,528.782137
-253.7923,2001,528.838181
1052.8157,2001,529.905245
622.3431,2001,530.655207
1142.2129,2001,532.128774
472.9922,2001,532.183355
-415.26007,1362,532.527141
327.4456,2001,533.241402
854.02057,2001,540.089797
277.13107,2001,540.144094
872.23987,2001,540.483805
124.16163,749,541.156143
-555.5142,2001,541.180613
627.982,2001,543.445693
508.92566,2001,543.844417
759.7189,2001,544.526222
767.1098,2001,544.551991
797.42163,2001,546.798365
252.51294,2001,547.195395
86.59855,2001,547.874402
505.63773,2001,547.899981
562.73566,2001,550.15195
16.362198,1355,550.373169
1024.4695,2001,550.55479
-927.2291,2001,551.245259
955.7861,2001,553.587489
144.3068,2001,553.812197
398.2969,1499,553.987317
1079.0555,2001,553.993569
-326.93347,1337,559.048902
591.7498,2001,560.189086
109.91205,2001,560.361212
968.82074,2001,560.367361
-254.20267,2001,562.404011
-8.228333,1218,562.460349
704.1722,2001,563.696362
961.88434,2001,563.702738
399.66895,2001,565.78779
769.2525,2001,565.849844
870.25653,2001,567.139325
418.50552,2001,567.145528
-270.47412,2001,569.215909
845.687,2001,569.272064
336.97153,2001,570.526013
843.32306,2001,570.531996
-366.7466,454,571.157679
423.86917,2001,571.975404
193.3983,2001,572.678039
177.24417,1203,572.829662
-795.1562,2001,574.541474
580.11835,2001,580.063992
1339.4194,2001,580.12301
1482.9567,2001,580.899688
1161.4491,2001,582.655576
-415.35623,2001,583.47966
539.6923,2001,583.537485
1006.04706,1989,584.28381
-464.92758,1160,585.703578
-13.470166,2001,586.051116
730.4504,2001,586.935925
1213.4714,2001,587.074384
66.36162,1005,589.076338
428.38138,2001,589.095541
1027.5953,2001,589.439729
827.8063,2001,590.319689
-336.47528,2001,592.437057
417.41995,2001,592.457058
1444.9967,2001,592.804959
708.95825,2001,593.6818
-144.53255,1537,595.520298
1334.2864,2001,595.799319
633.46155,2001,595.819594
429.06412,2001,599.224161
-183.36005,1120,599.256089
900.51117,2001,601.335211
1027.1929,2001,601.355109
-288.3117,2001,602.562102
1145.6202,2001,602.592727
953.8192,2001,604.682776
413.37823,2001,604.702444
755.4872,2001,605.926704
-114.95078,2001,605.958033
690.6665,1902,607.894663
631.85925,2001,608.049275
-420.28055,2001,609.253847
1413.9385,2001,609.285033
749.00073,2001,611.229435
1268.8362,2001,611.38803
-1122.4452,1976,612.58464
-472.181,2001,612.650576
1028.1605,2001,614.607695
1414.2073,2001,614.764179
-626.30725,2001,620.097926
902.46027,2001,620.163145
984.22754,2001,622.136047
733.28906,2001,622.289653
-471.65134,1329,622.610669
1254.0187,2001,623.471006
914.0377,2001,625.504245
1284.8607,2001,625.658492
738.4139,2001,625.982823
853.1117,2001,626.84122
194.83736,765,627.033397
805.32733,2001,628.855885
1253.7938,2001,629.010624
786.9976,2001,630.1984
1185.8949,2001,630.390765
675.5428,2001,632.228775
808.8989,2001,632.386899
908.6039,2001,633.580993
802.8875,2001,633.773603
581.2953,2001,635.683331
1665.1663,2001,635.836056
718.28156,2001,641.714469
956.56396,2001,641.903489
150.4045,969,643.666125
1747.4398,2001,643.753006
725.82245,2001,643.911856
-175.70415,1071,645.129301
1037.5388,2001,645.26438
397.25443,1604,646.093553
1022.9937,2001,647.10059
796.3007,2001,648.503798
1079.9111,2001,648.644354
1421.1846,2001,649.486867
345.0065,2001,650.466846
1028.0969,2001,651.871274
966.0957,1918,651.897359
1041.8833,2001,652.856455
1353.3121,2001,653.852921
570.5684,1983,655.227681
883.4764,2001,655.276775
695.605,1038,655.291484
1024.4689,2001,656.218752
1205.5359,2001,663.372847
1409.2311,2001,663.423387
409.21902,2001,663.437999
619.4993,2001,664.379811
1758.2762,2001,666.74041
1212.0116,2001,666.796303
1204.5597,2001,666.811111
-44.327923,2001,667.755438
265.53226,945,668.059465
715.8903,2001,670.20897
688.2312,2001,670.223108
520.15326,1366,670.282771
344.9552,1507,670.778541
1314.1539,2001,673.590955
1222.3983,2001,673.605709
1428.0924,2001,673.666526
1432.7529,2001,674.157393
-274.66742,1227,675.966799
1011.7626,2001,676.961179
1082.1895,1991,676.961209
846.7404,2001,677.534245
1494.1794,2001,679.395772
821.6726,1363,679.511527
125.76656,2001,685.088803
-836.5155,2001,685.653666
1167.3218,2001,687.44167
-626.7604,2001,687.554891
416.70422,1126,687.797337
459.3151,2001,688.4302
305.4481,701,688.760523
199.98894,460,689.391906
163.54562,1379,689.446065
444.68936,1496,689.493088
1601.3203,2001,691.780751
1579.203,2001,692.744146
1671.7804,2001,692.799286
1535.0956,2001,692.84731
314.70984,2001,695.146265
-23.006079,1883,696.005804
1565.0852,2001,696.115733
1595.0134,2001,696.220394
435.4197,605,696.84363
160.71829,538,698.219026
1146.3966,2001,698.545375
141.2123,669,699.466917
1018.3007,2001,699.512368
768.80194,2001,699.616183
131.00754,551,700.36278
277.06342,862,704.853441
1320.9794,2001,705.176993
845.6088,2001,706.456602
781.47406,1693,706.893622
1469.7312,2001,708.189341
794.2399,2001,708.510296
554.6163,1795,709.515045
1748.1028,2001,710.233046
1447.5508,2001,711.573411
788.79724,2001,711.899116
530.5888,757,712.616108
676.99457,2001,712.901253
1964.0713,2001,713.621038
662.80896,1450,713.88696
1440.3713,2001,715.952666
1822.8644,2001,716.234684
1513.8318,2001,716.948499
1247.7188,2001,717.216253
1353.3379,2001,719.276206
1531.885,2001,719.559674
424.37506,1543,719.650553
788.5986,1810,720.283122
-428.3028,879,720.475737
490.74298,775,720.707358
182.26108,2001,727.585708
1233.5706,2001,728.323648
1568.2415,2001,728.521758
1864.1404,2001,728.756903
732.23303,1045,729.037479
223.06163,679,729.86646
-121.01961,727,730.126186
174.28166,528,730.852038
118.94663,746,731.888017
1857.6411,2001,732.119942
1079.352,1704,732.216423
1566.1848,2001,732.401589
-133.36385,1073,734.483053
898.0901,1465,734.742215
938.4703,1453,734.823413
1539.6514,2001,735.250694
474.61053,1052,737.32276
1692.6796,2001,737.867528
1585.8331,2001,738.125984
252.77342,2001,738.205449
319.15002,503,738.882362
802.15344,1372,740.597431
587.18494,2001,740.661747
1050.6412,2001,741.202492
235.98912,469,741.302732
1164.8278,2001,742.223861
1543.3276,2001,746.936567
745.36615,1124,747.360835
2131.9333,2001,747.536544
1102.3198,2001,747.636071
421.712,992,748.984402
1224.5017,2001,750.325034
1713.5643,2001,750.754463
1755.8516,2001,750.930573
847.6054,1060,751.101181
397.15488,484,751.414448
241.21477,614,751.946777
343.63547,1461,752.339797
687.25977,1077,753.539622
1926.2246,2001,754.329114
705.38666,1565,755.138453
1775.9685,2001,755.358691
249.40756,755,756.181727
652.1863,2001,756.980615
383.7126,1966,757.712859
1364.6277,2001,758.781812
1819.7513,2001,759.623812
1484.0697,2001,760.437331
-311.66855,524,761.189828
1102.0648,2001,761.203188
312.17395,1145,761.916775
1721.2449,2001,762.274731
1521.0442,2001,768.32366
1286.804,2001,768.337586
1921.1697,2001,769.055542
1750.0282,2001,769.413061
1630.5419,2001,771.762377
1607.1915,2001,771.775172
957.46735,2001,772.524467
1180.9086,2001,772.896875
1418.0552,2001,775.219758
2279.7734,2001,775.23306
1332.2517,2001,775.94908
1764.7828,2001,776.304789
